text,label
Transformer near Quthbullapur is sparking at night. Fire hazard. Requesting the concerned department to resolve this urgently.,streetlight_or_electricity
Waterlogging near Gachibowli service road is causing traffic problems. Requesting the concerned department to resolve this urgently.,waterlogging
Sewer overflowing near school in Serilingampally. Very unhygienic for children. Please send someone to fix this soon.,sewage_overflow
"No proper drainage in Ameerpet, every rain causes water accumulation. Please take immediate action.",waterlogging
Household waste is being thrown on the road near Malkajgiri school road. This problem has been ignored for many days.,garbage
A big crack has appeared on the road surface near Moosapet school road. This is becoming a serious public health problem.,pothole_road_damage
Low-lying area in Malkajgiri gets flooded every time it rains. This needs to be addressed before someone gets hurt.,waterlogging
Several street lights are not working in Kompally. This issue is causing a lot of inconvenience to residents.,streetlight_or_electricity
Open drain near Quthbullapur temple street is overflowing and stinking. This is becoming a serious public health problem.,sewage_overflow
Medical waste found dumped near service road in Attapur. Health hazard! This is a hazard and needs urgent attention.,garbage
Dead animal carcass and garbage lying near market area in Abids. Immediate repair is required.,garbage
Light pole damaged by accident near main road in Hayathnagar. Not repaired. People are suffering due to this negligence.,streetlight_or_electricity
The asphalt has completely broken on lane near Uppal. Children and elderly are at risk.,pothole_road_damage
Dead animal carcass and garbage lying near near bus stop in Kondapur. This problem has been ignored for many days.,garbage
Drain near Hitech City lane is blocked and sewage backing up. Please take immediate action.,sewage_overflow
Water stagnation near SR Nagar metro station road for many days creating foul smell. This needs to be addressed before someone gets hurt.,waterlogging
The broken light pole near Banjara Hills is unsafe for pedestrians. Children and elderly are at risk.,streetlight_or_electricity
"There are cracks and holes all over the road in Ameerpet, very dangerous. This is affecting daily commuters and pedestrians.",pothole_road_damage
The street light near Chintal colony road is not functioning. Immediate repair is required.,streetlight_or_electricity
Damaged bench in public park near Khairatabad. Please take immediate action.,others
The lane in Alwal is in terrible condition with road damage everywhere. Please send someone to fix this soon.,pothole_road_damage
Knee-deep water in Kondapur locality after yesterday's rain. No one has responded even after multiple complaints.,waterlogging
Blocked drain near Charminar causing sewage to overflow on street. The situation is getting worse every day.,sewage_overflow
Power outage in Begumpet from the last 2 weeks. No electricity in the area. Children and elderly are at risk.,streetlight_or_electricity
Smoke and dust from construction site near Banjara Hills. Children and elderly are at risk.,others
People are dumping trash openly near the market area in Kompally. Requesting the concerned department to resolve this urgently.,garbage
"Multiple potholes on main road in Bowenpally, two-wheelers are at risk. Immediate repair is required.",pothole_road_damage
Sparking from electric pole near Mehdipatnam colony road. Very dangerous! Requesting the concerned department to resolve this urgently.,streetlight_or_electricity
No pedestrian crossing at busy metro station road in Bowenpally. This is becoming a serious public health problem.,others
A huge crater has formed on the service road in Tolichowki. Kindly look into this matter at the earliest.,pothole_road_damage
Huge road damage near Kukatpally. Bikers cannot pass safely. Please send someone to fix this soon.,pothole_road_damage
Bus stop shelter damaged near Alwal near railway crossing. Immediate repair is required.,others
Bulb fused in street light near Secunderabad service road. Not replaced. Children and elderly are at risk.,streetlight_or_electricity
Road divider broken near beside flyover in Amberpet. Children and elderly are at risk.,others
Residents of Mehdipatnam unable to step out due to sewage overflow. Kindly look into this matter at the earliest.,sewage_overflow
Sewage water is spreading across the school road in Serilingampally. Please send someone to fix this soon.,sewage_overflow
Open dumping of solid waste near Quthbullapur is attracting stray animals. This issue is causing a lot of inconvenience to residents.,garbage
People cannot walk near Tarnaka due to sewage on service road. This is becoming a serious public health problem.,sewage_overflow
"No proper drainage in LB Nagar, every rain causes water accumulation. This needs to be addressed before someone gets hurt.",waterlogging
Standing water on highway stretch in Nagole causing dengue fear. This is affecting daily commuters and pedestrians.,waterlogging
Sewer line is burst and waste water is flowing freely in Ameerpet. The situation is getting worse every day.,sewage_overflow
Water entering homes in Chintal due to waterlogging. Immediate repair is required.,waterlogging
Severe waterlogging on hospital road in Manikonda after rain. Children and elderly are at risk.,waterlogging
All lights in Serilingampally colony are not working since last night. This issue is causing a lot of inconvenience to residents.,streetlight_or_electricity
Dustbin near residential lane in Vanasthalipuram has not been emptied in days. Requesting the concerned department to resolve this urgently.,garbage
Dustbin near near bus stop in Kondapur has not been emptied in days. This needs to be addressed before someone gets hurt.,garbage
People are dumping trash openly near the colony road in Khairatabad. Requesting the concerned department to resolve this urgently.,garbage
The street light near LB Nagar near railway crossing is not functioning. This is affecting daily commuters and pedestrians.,streetlight_or_electricity
Household waste is being thrown on the road near Malkajgiri colony road. This problem has been ignored for many days.,garbage
Potholes have formed after recent road digging near SR Nagar near signal. Immediate repair is required.,pothole_road_damage
People are dumping trash openly near the school road in Secunderabad. Kindly look into this matter at the earliest.,garbage
Standing water on highway stretch in Kukatpally causing dengue fear. This needs to be addressed before someone gets hurt.,waterlogging
"Piles of rubbish on lane in Nampally, stinking badly. Requesting the concerned department to resolve this urgently.",garbage
Water entering homes in Balanagar due to waterlogging. This is a hazard and needs urgent attention.,waterlogging
There is complete darkness at night due to faulty street light in Miyapur. This is a hazard and needs urgent attention.,streetlight_or_electricity
"Storm water drain is blocked near Malkajgiri, causing flooding. People are suffering due to this negligence.",waterlogging
Electric wires are hanging dangerously near near bus stop in Tarnaka. Kindly look into this matter at the earliest.,streetlight_or_electricity
Children cannot go to school due to waterlogging near Nampally. Requesting the concerned department to resolve this urgently.,waterlogging
Electric wires are hanging dangerously near market area in SR Nagar. This problem has been ignored for many days.,streetlight_or_electricity
There is complete darkness at night due to faulty street light in Balanagar. Immediate repair is required.,streetlight_or_electricity
Noise pollution from loudspeaker near Lakdikapul from the last 2 weeks. This issue is causing a lot of inconvenience to residents.,others
Water tanker not coming to Kompally for many days. This needs to be addressed before someone gets hurt.,others
Nala near Banjara Hills is overflowing with sewage and waste water. Please send someone to fix this soon.,sewage_overflow
LED street light installed but never turned on in Chintal. The situation is getting worse every day.,streetlight_or_electricity
Water submerged road near Amberpet cross road is impassable. Requesting the concerned department to resolve this urgently.,waterlogging
Noise pollution from loudspeaker near Banjara Hills since the heavy rains. This needs to be addressed before someone gets hurt.,others
Construction debris dumped near service road in Jubilee Hills. Kindly look into this matter at the earliest.,garbage
"After every rain, lane in Ramanthapur turns into a pond. This is becoming a serious public health problem.",waterlogging
"No illumination on temple street in Uppal, accidents happening regularly. Please send someone to fix this soon.",streetlight_or_electricity
Construction left the road damaged near Serilingampally highway stretch and no one fixed it. This is becoming a serious public health problem.,pothole_road_damage
Standing water on highway stretch in Rajendranagar causing dengue fear. This is a hazard and needs urgent attention.,waterlogging
"The dug up road in Madhapur was never repaired, full of potholes now. Immediate repair is required.",pothole_road_damage
Rainwater not receding from near bus stop near Champapet. This issue is causing a lot of inconvenience to residents.,waterlogging
"There are cracks and holes all over the road in Nagole, very dangerous. The situation is getting worse every day.",pothole_road_damage
Ankle-deep water on beside flyover in Hayathnagar for many days. Kindly look into this matter at the earliest.,waterlogging
Water is stagnating on the junction near Chintal since yesterday. This issue is causing a lot of inconvenience to residents.,waterlogging
Dry and wet waste mixed together near bin at Jeedimetla main road. Kindly look into this matter at the earliest.,garbage
Street lamp near service road in Lakdikapul is flickering and not stable. No one has responded even after multiple complaints.,streetlight_or_electricity
Waste materials scattered across the street in Lakdikapul. The situation is getting worse every day.,garbage
Mosquito breeding is increasing due to sewage overflow in Abids. People are suffering due to this negligence.,sewage_overflow
Ankle-deep water on temple street in Habsiguda since yesterday. This problem has been ignored for many days.,waterlogging
Strong foul smell from the drain at Moosapet. This needs to be addressed before someone gets hurt.,sewage_overflow
No pedestrian crossing at busy school road in Secunderabad. No one has responded even after multiple complaints.,others
Abandoned vehicle blocking road near Jubilee Hills junction. Please take immediate action.,others
High tension wire hanging low near near signal in Champapet. Extremely dangerous. People are suffering due to this negligence.,streetlight_or_electricity
"There are cracks and holes all over the road in Charminar, very dangerous. This is a hazard and needs urgent attention.",pothole_road_damage
There is a lot of garbage accumulated near the hospital road in LB Nagar. This problem has been ignored for many days.,garbage
Open dumping of solid waste near Dilsukhnagar is attracting stray animals. Requesting the concerned department to resolve this urgently.,garbage
People are dumping trash openly near the near signal in Hitech City. We have been waiting for a long time.,garbage
Public tap running and wasting water near Hitech City near signal. People are suffering due to this negligence.,others
"The dug up road in Mehdipatnam was never repaired, full of potholes now. This needs to be addressed before someone gets hurt.",pothole_road_damage
Puddles and water stagnation everywhere on hospital road in Banjara Hills. People are suffering due to this negligence.,waterlogging
"Rain water flooding market area in Rajendranagar, two-wheelers cannot pass. This needs to be addressed before someone gets hurt.",waterlogging
Illegal construction happening near Uppal highway stretch. People are suffering due to this negligence.,others
Dry and wet waste mixed together near bin at Hayathnagar metro station road. This is affecting daily commuters and pedestrians.,garbage
"The dug up road in Tolichowki was never repaired, full of potholes now. Requesting the concerned department to resolve this urgently.",pothole_road_damage
Medical waste found dumped near school road in Dilsukhnagar. Health hazard! No one has responded even after multiple complaints.,garbage
The asphalt has completely broken on market area near Attapur. The situation is getting worse every day.,pothole_road_damage
Construction left the road damaged near Vanasthalipuram colony road and no one fixed it. This problem has been ignored for many days.,pothole_road_damage
Unauthorized parking blocking temple street in LB Nagar. This is affecting daily commuters and pedestrians.,others
Children cannot go to school due to waterlogging near Balanagar. This is becoming a serious public health problem.,waterlogging
Power outage in Moosapet from the last 2 weeks. No electricity in the area. No one has responded even after multiple complaints.,streetlight_or_electricity
Severe waterlogging on colony road in Manikonda after rain. Children and elderly are at risk.,waterlogging
The street light near Jeedimetla residential lane is not functioning. This needs to be addressed before someone gets hurt.,streetlight_or_electricity
Bad smell coming due to uncollected waste near Quthbullapur residential lane. We have been waiting for a long time.,garbage
Water entering homes in Champapet due to waterlogging. People are suffering due to this negligence.,waterlogging
The sewage pipeline is broken near near signal in Abids. This problem has been ignored for many days.,sewage_overflow
Residents of Jeedimetla unable to step out due to sewage overflow. This is becoming a serious public health problem.,sewage_overflow
Street lamps in Manikonda are all off. Women feel unsafe at night. Kindly look into this matter at the earliest.,streetlight_or_electricity
Sewage water is spreading across the near railway crossing in Uppal. This problem has been ignored for many days.,sewage_overflow
Speed breaker needed urgently on metro station road in Jeedimetla. Please send someone to fix this soon.,others
Medical waste found dumped near lane in Ramanthapur. Health hazard! This is affecting daily commuters and pedestrians.,garbage
No pedestrian crossing at busy residential lane in Nampally. People are suffering due to this negligence.,others
Sewer line is burst and waste water is flowing freely in Ramanthapur. Please take immediate action.,sewage_overflow
Road in our area Charminar is full of craters. Children can't walk safely. We have been waiting for a long time.,pothole_road_damage
"Electricity wire touching tree near Attapur service road, sparks visible. No one has responded even after multiple complaints.",streetlight_or_electricity
"Storm water drain is blocked near Abids, causing flooding. People are suffering due to this negligence.",waterlogging
Roads submerged in water in Moosapet. Vehicles stuck. Children and elderly are at risk.,waterlogging
Sewage mixed with rain water on temple street near LB Nagar. We have been waiting for a long time.,sewage_overflow
Waste not picked up from our colony in Gachibowli since last night. This issue is causing a lot of inconvenience to residents.,garbage
Illegal construction happening near Secunderabad residential lane. We have been waiting for a long time.,others
People cannot walk near Serilingampally due to sewage on main road. The situation is getting worse every day.,sewage_overflow
"Underground drainage system failed in Rajendranagar, sewage everywhere. This is a hazard and needs urgent attention.",sewage_overflow
All lights in Bowenpally colony are not working for many days. This is a hazard and needs urgent attention.,streetlight_or_electricity
Strong foul smell from the drain at LB Nagar. No one has responded even after multiple complaints.,sewage_overflow
Knee-deep water in Uppal locality after yesterday's rain. Kindly look into this matter at the earliest.,waterlogging
Dustbin near colony road in Erragadda has not been emptied in days. This issue is causing a lot of inconvenience to residents.,garbage
Drain water is coming out on the road near Kompally lane. This issue is causing a lot of inconvenience to residents.,sewage_overflow
The road near Habsiguda hospital road has multiple deep potholes. Children and elderly are at risk.,pothole_road_damage
Household waste is being thrown on the road near Kompally near bus stop. Please send someone to fix this soon.,garbage
Children cannot go to school due to waterlogging near Kompally. The situation is getting worse every day.,waterlogging
Electric wires are hanging dangerously near metro station road in Erragadda. This problem has been ignored for many days.,streetlight_or_electricity
Drain water is coming out on the road near Charminar near railway crossing. No one has responded even after multiple complaints.,sewage_overflow
"There is a deep road pit on the metro station road near Manikonda, causing accidents. This is affecting daily commuters and pedestrians.",pothole_road_damage
Dirty drain water is entering homes in Rajendranagar. Please take immediate action.,sewage_overflow
Trash and litter everywhere near temple street in Malkajgiri. Very unhygienic. Immediate repair is required.,garbage
Waste not picked up from our colony in Tarnaka from the last 2 weeks. This is a hazard and needs urgent attention.,garbage
Flooding in Chintal colony due to poor drainage system. This needs to be addressed before someone gets hurt.,waterlogging
Noise pollution from loudspeaker near Jubilee Hills for many days. Please send someone to fix this soon.,others
Transformer near Begumpet is sparking at night. Fire hazard. We have been waiting for a long time.,streetlight_or_electricity
Open dumping of solid waste near Amberpet is attracting stray animals. The situation is getting worse every day.,garbage
Public tap running and wasting water near Hitech City residential lane. Please take immediate action.,others
Filth everywhere near the market in Hayathnagar. Garbage not cleaned. This is affecting daily commuters and pedestrians.,garbage
"Drain is clogged near Lakdikapul beside flyover, causing backup into houses. Children and elderly are at risk.",sewage_overflow
A dangerous pothole has developed on the beside flyover near Tolichowki. Vehicles are getting damaged. People are suffering due to this negligence.,pothole_road_damage
Black dirty water from sewer on near bus stop in Tolichowki. The situation is getting worse every day.,sewage_overflow
Wastewater from drain flooding near signal in Hayathnagar. We have been waiting for a long time.,sewage_overflow
Frequent power cuts in Lakdikapul area for over a month. We have been waiting for a long time.,streetlight_or_electricity
"Park in Uppal is not maintained, becoming unsafe. Please send someone to fix this soon.",others
A dangerous pothole has developed on the metro station road near Tarnaka. Vehicles are getting damaged. This is becoming a serious public health problem.,pothole_road_damage
Food waste rotting on the road near Charminar service road. Flies and mosquitoes increasing. People are suffering due to this negligence.,garbage
Construction debris dumped near cross road in Erragadda. Kindly look into this matter at the earliest.,garbage
Rain water accumulating on cross road near Bowenpally. No outlet. Requesting the concerned department to resolve this urgently.,waterlogging
Black dirty water from sewer on cross road in Attapur. People are suffering due to this negligence.,sewage_overflow
Sewage is overflowing on the highway stretch in Ramanthapur. Kindly look into this matter at the earliest.,sewage_overflow
"No illumination on highway stretch in Malkajgiri, accidents happening regularly. Kindly look into this matter at the earliest.",streetlight_or_electricity
The street light near Moosapet temple street is not functioning. Please send someone to fix this soon.,streetlight_or_electricity
Waterlogging near Alwal hospital road is causing traffic problems. This problem has been ignored for many days.,waterlogging
Electricity cable fallen on road near Hayathnagar. Very risky. The situation is getting worse every day.,streetlight_or_electricity
Black dirty water from sewer on metro station road in Chintal. We have been waiting for a long time.,sewage_overflow
Dead animal carcass and garbage lying near temple street in Hitech City. We have been waiting for a long time.,garbage
Medical waste found dumped near school road in Nampally. Health hazard! Children and elderly are at risk.,garbage
Children cannot go to school due to waterlogging near Nampally. This is becoming a serious public health problem.,waterlogging
Abandoned vehicle blocking road near Manikonda near bus stop. This issue is causing a lot of inconvenience to residents.,others
Open drain near Miyapur service road is overflowing and stinking. Please send someone to fix this soon.,sewage_overflow
Damaged bench in public park near Alwal. Children and elderly are at risk.,others
Children cannot go to school due to waterlogging near Gachibowli. This is affecting daily commuters and pedestrians.,waterlogging
"The dug up road in Charminar was never repaired, full of potholes now. No one has responded even after multiple complaints.",pothole_road_damage
Auto drivers overcharging passengers near Secunderabad. This is becoming a serious public health problem.,others
Sewer line is burst and waste water is flowing freely in Kondapur. The situation is getting worse every day.,sewage_overflow
The road near Khairatabad hospital road has multiple deep potholes. Kindly look into this matter at the earliest.,pothole_road_damage
Waste not picked up from our colony in Begumpet from the last 2 weeks. We have been waiting for a long time.,garbage
A dangerous pothole has developed on the hospital road near Quthbullapur. Vehicles are getting damaged. No one has responded even after multiple complaints.,pothole_road_damage
Knee-deep water in Amberpet locality after yesterday's rain. Requesting the concerned department to resolve this urgently.,waterlogging
"After every rain, near bus stop in Champapet turns into a pond. No one has responded even after multiple complaints.",waterlogging
"Due to potholes on highway stretch in Ramanthapur, commuters are facing severe problems. Please send someone to fix this soon.",pothole_road_damage
Overflowing garbage bins are creating health issues in Bowenpally. Children and elderly are at risk.,garbage
Severe waterlogging on junction in Rajendranagar after rain. This is becoming a serious public health problem.,waterlogging
Dirty drain water is entering homes in Charminar. This issue is causing a lot of inconvenience to residents.,sewage_overflow
The asphalt has completely broken on junction near Khairatabad. Immediate repair is required.,pothole_road_damage
Stray cattle roaming on colony road in Kukatpally. Requesting the concerned department to resolve this urgently.,others
Road in our area Gachibowli is full of craters. Children can't walk safely. People are suffering due to this negligence.,pothole_road_damage
A big crack has appeared on the road surface near Jeedimetla hospital road. This issue is causing a lot of inconvenience to residents.,pothole_road_damage
Stray dogs are attacking people near highway stretch in Jeedimetla. Children and elderly are at risk.,others
Dustbin near beside flyover in Manikonda has not been emptied in days. This is becoming a serious public health problem.,garbage
Sparking from electric pole near Hayathnagar lane. Very dangerous! People are suffering due to this negligence.,streetlight_or_electricity
Sewage mixed with rain water on cross road near Nagole. This problem has been ignored for many days.,sewage_overflow
Mosquito breeding is increasing due to sewage overflow in Quthbullapur. Kindly look into this matter at the earliest.,sewage_overflow
Light pole damaged by accident near near signal in Jeedimetla. Not repaired. This is becoming a serious public health problem.,streetlight_or_electricity
Mosquito fogging needed in Hayathnagar colony urgently. This issue is causing a lot of inconvenience to residents.,others
Knee-deep water in Gachibowli locality after yesterday's rain. The situation is getting worse every day.,waterlogging
Severe waterlogging on near railway crossing in Kompally after rain. The situation is getting worse every day.,waterlogging
Open drain near Charminar near bus stop is overflowing and stinking. This problem has been ignored for many days.,sewage_overflow
Flooding in Miyapur colony due to poor drainage system. No one has responded even after multiple complaints.,waterlogging
Dead animal carcass and garbage lying near near railway crossing in Vanasthalipuram. This needs to be addressed before someone gets hurt.,garbage
Night time visibility is zero on hospital road near SR Nagar. No lights. Kindly look into this matter at the earliest.,streetlight_or_electricity
Street light has been switched off for many days in Moosapet. We have been waiting for a long time.,streetlight_or_electricity
Water stagnation near Balanagar junction for many days creating foul smell. This is a hazard and needs urgent attention.,waterlogging
Night time visibility is zero on near railway crossing near Malkajgiri. No lights. We have been waiting for a long time.,streetlight_or_electricity
Road divider broken near market area in Uppal. This is a hazard and needs urgent attention.,others
There is a big pothole on the near railway crossing in Alwal. We have been waiting for a long time.,pothole_road_damage
Severe waterlogging on junction in Abids after rain. Requesting the concerned department to resolve this urgently.,waterlogging
A huge crater has formed on the hospital road in Kukatpally. Kindly look into this matter at the earliest.,pothole_road_damage
People are dumping trash openly near the temple street in Manikonda. Please send someone to fix this soon.,garbage
Water entering homes in Kondapur due to waterlogging. Kindly look into this matter at the earliest.,waterlogging
Drinking water supply issue in Vanasthalipuram for the past few days. This is a hazard and needs urgent attention.,others
Boundary wall collapsed near school road in Banjara Hills. Children and elderly are at risk.,others
Huge road damage near Gachibowli. Bikers cannot pass safely. The situation is getting worse every day.,pothole_road_damage
Water entering homes in LB Nagar due to waterlogging. Please send someone to fix this soon.,waterlogging
Sewage mixed with rain water on market area near Attapur. Requesting the concerned department to resolve this urgently.,sewage_overflow
Waste not picked up from our colony in Gachibowli from the last 2 weeks. This is affecting daily commuters and pedestrians.,garbage
Road condition is very poor with cuts and pits on lane in Gachibowli. Children and elderly are at risk.,pothole_road_damage
No garbage collection happening in Erragadda since last night. Children and elderly are at risk.,garbage
Waste not picked up from our colony in Mehdipatnam for many days. This needs to be addressed before someone gets hurt.,garbage
Open well near Ramanthapur colony road is dangerous for kids. This needs to be addressed before someone gets hurt.,others
Flooded street in Khairatabad due to choked drainage. The situation is getting worse every day.,waterlogging
Waterlogged area near Hitech City becoming breeding ground for mosquitoes. This needs to be addressed before someone gets hurt.,waterlogging
Light pole damaged by accident near market area in Balanagar. Not repaired. This needs to be addressed before someone gets hurt.,streetlight_or_electricity
Noise pollution from loudspeaker near Banjara Hills since yesterday. This is a hazard and needs urgent attention.,others
Water is stagnating on the lane near Begumpet for many days. People are suffering due to this negligence.,waterlogging
Dustbin near near bus stop in Dilsukhnagar has not been emptied in days. This is affecting daily commuters and pedestrians.,garbage
"No illumination on junction in Kukatpally, accidents happening regularly. Please take immediate action.",streetlight_or_electricity
Potholes have formed after recent road digging near Charminar colony road. The situation is getting worse every day.,pothole_road_damage
Sewage water flowing on cross road in Alwal from the last 2 weeks. This is a hazard and needs urgent attention.,sewage_overflow
Street lamp near junction in Serilingampally is flickering and not stable. We have been waiting for a long time.,streetlight_or_electricity
The broken light pole near KPHB Colony is unsafe for pedestrians. Please take immediate action.,streetlight_or_electricity
Bulb fused in street light near Hitech City near signal. Not replaced. Please take immediate action.,streetlight_or_electricity
Sparking from electric pole near Champapet market area. Very dangerous! Please take immediate action.,streetlight_or_electricity
Open dumping of solid waste near Ameerpet is attracting stray animals. Please send someone to fix this soon.,garbage
A huge crater has formed on the residential lane in Lakdikapul. Requesting the concerned department to resolve this urgently.,pothole_road_damage
Filth everywhere near the market in Hayathnagar. Garbage not cleaned. This is a hazard and needs urgent attention.,garbage
Bad smell coming due to uncollected waste near Miyapur cross road. This needs to be addressed before someone gets hurt.,garbage
"The dug up road in Nampally was never repaired, full of potholes now. Immediate repair is required.",pothole_road_damage
Dead animal carcass and garbage lying near junction in Vanasthalipuram. This is becoming a serious public health problem.,garbage
No garbage collection happening in Kukatpally for many days. Please send someone to fix this soon.,garbage
Noise pollution from loudspeaker near Secunderabad for over a month. This is a hazard and needs urgent attention.,others
A huge crater has formed on the hospital road in Uppal. Please send someone to fix this soon.,pothole_road_damage
No garbage collection happening in Tolichowki since last night. This is affecting daily commuters and pedestrians.,garbage
Potholes have formed after recent road digging near Gachibowli service road. Children and elderly are at risk.,pothole_road_damage
Medical waste found dumped near near bus stop in Madhapur. Health hazard! This is a hazard and needs urgent attention.,garbage
Construction debris dumped near highway stretch in Ameerpet. This is becoming a serious public health problem.,garbage
"Rain water flooding near bus stop in Kukatpally, two-wheelers cannot pass. This is becoming a serious public health problem.",waterlogging
Residents of Ameerpet unable to step out due to sewage overflow. Please take immediate action.,sewage_overflow
Terrible sewage smell in Uppal colony from broken sewer pipe. No one has responded even after multiple complaints.,sewage_overflow
A dangerous pothole has developed on the cross road near LB Nagar. Vehicles are getting damaged. This needs to be addressed before someone gets hurt.,pothole_road_damage
Puddles and water stagnation everywhere on main road in Begumpet. No one has responded even after multiple complaints.,waterlogging
Open drain near Jeedimetla lane is overflowing and stinking. Please send someone to fix this soon.,sewage_overflow
All lights in Mehdipatnam colony are not working for the past few days. This problem has been ignored for many days.,streetlight_or_electricity
Low-lying area in Nampally gets flooded every time it rains. This needs to be addressed before someone gets hurt.,waterlogging
Power outage in Ramanthapur for over a month. No electricity in the area. Please send someone to fix this soon.,streetlight_or_electricity
"Underground drainage system failed in Abids, sewage everywhere. Children and elderly are at risk.",sewage_overflow
Waste not picked up from our colony in Lakdikapul from the last 2 weeks. The situation is getting worse every day.,garbage
Sewage is overflowing on the market area in Malkajgiri. No one has responded even after multiple complaints.,sewage_overflow
Footpath encroachment by vendors near beside flyover in Banjara Hills. No one has responded even after multiple complaints.,others
Sewer line is burst and waste water is flowing freely in Banjara Hills. This is a hazard and needs urgent attention.,sewage_overflow
"After every rain, temple street in Kondapur turns into a pond. Kindly look into this matter at the earliest.",waterlogging
Sewage mixed with rain water on colony road near Chintal. This is affecting daily commuters and pedestrians.,sewage_overflow
Water is stagnating on the highway stretch near Vanasthalipuram for many days. Requesting the concerned department to resolve this urgently.,waterlogging
Dustbin near junction in Habsiguda has not been emptied in days. Requesting the concerned department to resolve this urgently.,garbage
Power outage in Abids since the heavy rains. No electricity in the area. Requesting the concerned department to resolve this urgently.,streetlight_or_electricity
Sewer line is burst and waste water is flowing freely in Uppal. This needs to be addressed before someone gets hurt.,sewage_overflow
